Time Step,True State,Measurement
1,18.014943865507753,23.09645985541463
2,16.23471215485208,19.91370300151017
3,14.461843193825002,16.649799091593618
4,13.14883386010843,16.257851430573204
5,11.813913357526923,13.705524525732699
6,10.663074190474536,13.067937080854863
7,9.405639633033678,12.88749090799886
8,8.516116994840722,8.86975965837778
9,7.661397574942816,9.77725336606604
10,6.938584107317414,9.062678820102617
11,6.126837049142276,7.417499666579656
12,5.627113686046919,5.8295340637116135
13,5.0731497863313155,6.901767272945062
14,4.506696130580063,3.7268667963915654
15,4.0776788339461545,4.6243858870597006
16,3.5999611680186816,3.7644620722193975
17,3.398946020639592,2.6282648123380783
18,2.950144329116788,3.6725785763769925
19,2.577607278836845,2.417376647491
20,2.336027886599988,4.062098614718434
21,2.166618966748351,1.7033557632977938
22,1.9435073073067357,1.720480970224114
23,1.8401018153038573,1.8942856098442606
24,1.6565480476496286,2.3224612473762756
25,1.6605284316018496,1.7993301306991358
26,1.5207109443371054,2.3271552204836388
27,1.3346946255737542,3.704037374982656
28,1.2910124221351742,0.7004258954547324
29,1.0985698310431984,0.6074139408059807
30,0.942645694358592,0.7922245947132931
31,1.0539493586899225,3.427270327870625
32,0.9294720182316153,2.054601649408794
33,0.8303819134113632,2.3452309477425644
34,0.863578124806882,0.5017829215263986
35,0.7482940922950154,1.608159355547651
36,0.7080022521198662,0.713782623383057
37,0.6406709429835463,1.631363433575008
38,0.545782503712822,0.24662552536765614
39,0.4547394575610088,0.6278910485005301
40,0.5506067740848484,1.3656082232960698
41,0.4116763664504396,1.3785940785917155
42,0.33696871038961534,0.6079580291236177
43,0.32158862074081096,-0.4776583105638701
44,0.4233784684785311,-1.4520918898445583
45,0.1501536659941207,-0.40980105450107074
46,0.1332026019950363,0.8091619386099663
47,0.13492738525415857,1.0050713417136614
48,0.17071615696981585,-0.7079244029716837
49,0.23181648820361772,1.3791530889008783
50,0.2851217121143652,0.011570231634400407
51,0.2519699532025452,1.1398209969576358
52,0.20689802779584032,0.8069961272156232
53,0.19391598703763804,-1.4972176128965267
54,0.23695383760186428,0.07687980027848185
55,0.4407649736259849,1.7726633718160638
56,0.3042419028852169,0.08309011060547156
57,0.2838927876234428,0.8004386322691516
58,0.3022809133458176,-0.35616590138948606
59,0.27611797159656754,1.0339805393317243
60,0.2720241816735272,0.5487464031824454
61,0.3218043165627046,-0.6860131070245503
62,0.4227112344032231,0.2100632880076928
63,0.35976806763521274,-1.7216221331472525
64,0.3447253983004193,-1.2473174758956087
65,0.27148011647335124,1.045379421157788
66,0.14267072866432234,1.136016114222443
67,0.11242160242375475,1.4901102434764413
68,0.17403990442793,-0.5515729014354613
69,0.2304953447901305,0.8077268302043685
70,0.10829091942232666,0.2287680301433712
71,-0.01246739976491465,0.40061303418285793
72,0.0314518893293442,0.6034311072913311
73,0.06818793461828779,1.3335886050946126
74,0.09249353469650594,1.519408626032232
75,0.01982071149350781,1.7644109766838698
76,0.061498451080180594,1.3141978908300485
77,0.11172042604550092,-2.724233160355555
78,0.10847690760564618,0.312002844446854
79,0.21011660450147607,0.310880325770793
80,0.17287328330687218,-1.6724203999025984
81,0.24550448092808705,-0.6683242700017311
82,0.17073243729742765,0.5643429161794459
83,0.11599890838712593,1.5732716232403274
84,0.1005782003043885,1.7461728606911495
85,0.04182628819827405,-1.5941674287097982
86,0.036222940976131116,0.5283391626408499
87,0.021577610547979152,0.6788413548860005
88,0.008679330860641866,0.05880994814281708
89,0.18751251532911178,0.9708984493677214
90,0.19189283376562874,0.11659274280161955
91,0.3704161527398207,0.6759523726834358
92,0.49417121462730756,-0.8822210783526465
93,0.37176316225618966,3.3021373719594886
94,0.3658465884209797,-0.20955817123101322
95,0.6252691323238873,3.9643189610347553
96,0.612714747926054,1.578556367746331
97,0.4377326405050725,1.2625650696401536
98,0.2769644010533366,-1.5675790548687096
99,0.38090709427057157,0.45278614863027944
100,0.14988888574232723,0.4116625818324876
